epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.521,1.68615,4.09864,1.74804,0.29609,0.35417,0.09541,0.05276,1.57104,12.8197,1.83305,0.000412326,0.000412326,0.000412326
2,693.969,1.62643,3.00692,1.65004,0.10086,0.39133,0.12956,0.06941,1.80851,10.7317,1.93467,0.000812579,0.000812579,0.000812579
3,1103.56,1.64261,2.61629,1.66702,0.38447,0.27051,0.12777,0.06648,1.7828,8.07269,1.81504,0.00119633,0.00119633,0.00119633
4,1636.43,1.67759,2.33816,1.65689,0.14647,0.36826,0.13952,0.07945,1.66728,10.8675,1.73699,0.00117575,0.00117575,0.00117575
5,1988.83,1.64692,2.10986,1.63599,0.3754,0.34681,0.13488,0.07293,1.78516,6.98789,1.85928,0.001151,0.001151,0.001151
6,2343.97,1.64303,1.9785,1.62965,0.14773,0.41881,0.14773,0.07872,1.68474,5.72068,1.78844,0.00112625,0.00112625,0.00112625
7,2706.55,1.55307,1.8007,1.54312,0.11574,0.35631,0.13861,0.06811,1.72166,5.8054,1.76321,0.0011015,0.0011015,0.0011015
8,3054.7,1.56383,1.67806,1.55254,0.13511,0.4882,0.15055,0.09053,1.56417,4.59659,1.61426,0.00107675,0.00107675,0.00107675
9,3448.48,1.54612,1.67546,1.53699,0.34271,0.39859,0.15411,0.08315,1.66293,5.47385,1.72391,0.001052,0.001052,0.001052
10,3854.47,1.52683,1.6021,1.51341,0.13288,0.62776,0.19666,0.11695,1.61423,5.09993,1.68906,0.00102725,0.00102725,0.00102725
11,4247.05,1.53983,1.5768,1.52594,0.13902,0.44769,0.20574,0.11648,1.57352,3.05924,1.65245,0.0010025,0.0010025,0.0010025
12,4660.91,1.50069,1.5033,1.50781,0.11746,0.64383,0.18995,0.11407,1.55785,5.4883,1.66778,0.00097775,0.00097775,0.00097775
13,5073.06,1.48968,1.53943,1.52192,0.16977,0.55515,0.15054,0.08449,1.59589,3.61323,1.66899,0.000953,0.000953,0.000953
14,5482.15,1.44584,1.40702,1.45539,0.1404,0.52789,0.19577,0.11046,1.68585,4.30613,1.68472,0.00092825,0.00092825,0.00092825
15,5878.45,1.42695,1.43375,1.45184,0.16252,0.66377,0.17243,0.09901,1.57861,3.70023,1.62469,0.0009035,0.0009035,0.0009035
16,6279.27,1.42747,1.41036,1.44993,0.1297,0.70496,0.18488,0.10106,1.56248,4.0247,1.63293,0.00087875,0.00087875,0.00087875
17,6693.04,1.40015,1.3707,1.43783,0.14661,0.76018,0.17084,0.09386,1.64556,3.2037,1.68609,0.000854,0.000854,0.000854
18,7052.59,1.41425,1.40663,1.46214,0.15465,0.74758,0.16961,0.09531,1.58737,4.2738,1.65861,0.00082925,0.00082925,0.00082925
19,7410.48,1.38512,1.30435,1.4237,0.14915,0.68842,0.17613,0.08977,1.64226,4.23035,1.68227,0.0008045,0.0008045,0.0008045
20,7747.48,1.40475,1.28659,1.42044,0.15366,0.74663,0.2048,0.12101,1.58971,3.57652,1.67439,0.00077975,0.00077975,0.00077975
21,8061.63,1.36749,1.25444,1.4043,0.16522,0.51501,0.19749,0.11211,1.50141,4.22214,1.61046,0.000755,0.000755,0.000755
22,8375.62,1.35627,1.23692,1.4116,0.13878,0.64767,0.18519,0.10738,1.5947,4.21156,1.59433,0.00073025,0.00073025,0.00073025
23,8714.03,1.33981,1.20812,1.39821,0.13661,0.55576,0.19756,0.11762,1.57995,4.70542,1.65163,0.0007055,0.0007055,0.0007055
24,9031.46,1.33047,1.17685,1.3894,0.14116,0.72059,0.16619,0.08357,1.73276,4.52649,1.75052,0.00068075,0.00068075,0.00068075
25,9335.72,1.32805,1.22351,1.39599,0.1394,0.6633,0.18512,0.11187,1.56194,3.73953,1.62866,0.000656,0.000656,0.000656
26,9643.14,1.33527,1.1745,1.37928,0.14036,0.59247,0.19018,0.11303,1.55936,4.38931,1.60682,0.00063125,0.00063125,0.00063125
27,9946.08,1.30937,1.14758,1.3719,0.14194,0.64277,0.18631,0.10522,1.57446,3.78726,1.59888,0.0006065,0.0006065,0.0006065
28,10250.6,1.29942,1.14041,1.37604,0.16047,0.52874,0.19189,0.11547,1.55457,3.97383,1.59674,0.00058175,0.00058175,0.00058175
29,10551.6,1.29696,1.1404,1.3703,0.13507,0.73299,0.19161,0.11232,1.60791,4.08526,1.61499,0.000557,0.000557,0.000557
30,10863.3,1.27363,1.0945,1.33043,0.14389,0.67892,0.19135,0.11259,1.58412,3.65782,1.61281,0.00053225,0.00053225,0.00053225
31,11372.2,1.30411,1.08749,1.36374,0.14593,0.57567,0.19491,0.10862,1.52254,4.5243,1.59252,0.0005075,0.0005075,0.0005075
32,11739.6,1.26994,1.11315,1.35692,0.13075,0.67188,0.17991,0.10938,1.51085,3.9655,1.57249,0.00048275,0.00048275,0.00048275
33,12094.2,1.25534,1.04763,1.33504,0.14537,0.79185,0.20638,0.13222,1.53698,3.98467,1.59127,0.000458,0.000458,0.000458
34,12499.4,1.22924,1.05636,1.3177,0.14449,0.82904,0.20083,0.12302,1.51184,4.38367,1.58409,0.00043325,0.00043325,0.00043325
35,12905.4,1.23992,1.03771,1.32589,0.14255,0.8125,0.1934,0.11805,1.58197,4.19756,1.62826,0.0004085,0.0004085,0.0004085
36,13258.5,1.21024,1.00834,1.31026,0.12548,0.76042,0.19548,0.11978,1.61697,3.93917,1.67669,0.00038375,0.00038375,0.00038375
37,13593.7,1.23258,1.04181,1.3441,0.13881,0.77534,0.19675,0.11621,1.54805,3.59904,1.59985,0.000359,0.000359,0.000359
38,13964.6,1.18933,1.00936,1.28741,0.13626,0.80208,0.1809,0.10748,1.5399,3.73385,1.60685,0.00033425,0.00033425,0.00033425
39,14271.9,1.17918,0.95403,1.28653,0.1541,0.63079,0.20253,0.11924,1.62217,3.9395,1.65445,0.0003095,0.0003095,0.0003095
40,14575.1,1.17739,0.98157,1.28496,0.14386,0.72488,0.20167,0.12007,1.58206,4.35042,1.64165,0.00028475,0.00028475,0.00028475
41,14866.4,1.20718,0.88931,1.367,0.14885,0.86801,0.22432,0.129,1.54586,4.07997,1.61541,0.00026,0.00026,0.00026
42,15153.7,1.16327,0.8619,1.34938,0.14075,0.76562,0.21656,0.1275,1.58751,3.66882,1.63664,0.00023525,0.00023525,0.00023525
43,15444.1,1.15506,0.85235,1.34256,0.15411,0.77696,0.24277,0.1444,1.60901,3.99105,1.65427,0.0002105,0.0002105,0.0002105
44,15730.8,1.11334,0.80819,1.31177,0.15437,0.73998,0.21438,0.12511,1.62001,3.92141,1.68234,0.00018575,0.00018575,0.00018575
45,16071.9,1.11799,0.80945,1.31155,0.1521,0.75521,0.20719,0.12121,1.61544,4.32626,1.65507,0.000161,0.000161,0.000161
46,16747.7,1.08729,0.75834,1.29335,0.15025,0.76327,0.20717,0.1165,1.63327,4.18382,1.66799,0.00013625,0.00013625,0.00013625
47,17226.8,1.07494,0.77718,1.29204,0.15167,0.82812,0.20573,0.12244,1.60648,4.06818,1.65646,0.0001115,0.0001115,0.0001115
48,17569.9,1.04404,0.7548,1.25869,0.15372,0.79668,0.20753,0.12526,1.60617,4.15873,1.64958,8.675e-05,8.675e-05,8.675e-05
49,17929.1,1.04117,0.74929,1.25663,0.14979,0.76369,0.21149,0.1288,1.62363,4.13659,1.66672,6.2e-05,6.2e-05,6.2e-05
50,18263.5,1.05533,0.75602,1.27695,0.14805,0.75483,0.21307,0.1272,1.62799,4.05595,1.68044,3.725e-05,3.725e-05,3.725e-05
